job_id,section_id,zone,job_type,ml_priority_score,urgency,estimated_duration_hrs,scheduled_date,scheduled_day,block_start_hr,block_end_hr,block_start_time,block_end_time,days_overdue,defect_severity
JOB_0243,SEC_021,Western Railway,Weld Repair,94.4800033569336,Critical,3.4,2026-01-01,0,1,5,01:00,05:00,90,5
JOB_0015,SEC_016,Eastern Railway,Level Crossing Repair,93.06999969482422,Critical,3.4,2026-01-01,0,3,7,03:00,07:00,81,5
JOB_0041,SEC_029,South Central Railway,Signal Cable Work,90.26000213623047,Critical,3.4,2026-01-01,0,3,7,03:00,07:00,87,5
JOB_0118,SEC_017,South Central Railway,Signal Cable Work,90.04000091552734,Critical,3.8,2026-01-02,1,3,7,03:00,07:00,82,4
JOB_0116,SEC_017,South Central Railway,Drainage Clearance,89.7300033569336,Critical,2.4,2026-01-02,1,0,3,00:00,03:00,74,5
JOB_0072,SEC_019,Northern Railway,Ballast Tamping,89.16999816894531,Critical,4.1,2026-01-02,1,2,7,02:00,07:00,73,5
JOB_0269,SEC_017,South Central Railway,Level Crossing Repair,86.79000091552734,Critical,3.7,2026-01-03,2,2,6,02:00,06:00,83,4
JOB_0300,SEC_019,Northern Railway,Signal Cable Work,86.48999786376953,Critical,4.1,2026-01-03,2,2,7,02:00,07:00,66,5
JOB_0145,SEC_021,Western Railway,Fish Plate Fixing,85.70999908447266,Critical,2.9,2026-01-03,2,2,5,02:00,05:00,88,4
JOB_0106,SEC_034,Eastern Railway,Sleeper Replacement,84.66000366210938,Critical,6.0,2026-01-04,3,2,8,02:00,08:00,89,4
JOB_0231,SEC_032,Central Railway,Level Crossing Repair,84.43000030517578,Critical,2.2,2026-01-04,3,1,4,01:00,04:00,70,4
JOB_0209,SEC_012,Southern Railway,Rail Replacement,83.68000030517578,Critical,4.9,2026-01-04,3,2,7,02:00,07:00,70,4
JOB_0133,SEC_022,Eastern Railway,OHE Maintenance,83.62999725341797,Critical,4.2,2026-01-05,4,2,7,02:00,07:00,78,5
JOB_0134,SEC_032,Central Railway,Track Geometry Correction,82.76000213623047,Critical,6.8,2026-01-05,4,2,9,02:00,09:00,45,5
JOB_0230,SEC_010,Eastern Railway,Rail Replacement,81.9000015258789,Critical,6.5,2026-01-05,4,3,10,03:00,10:00,78,5
JOB_0181,SEC_032,Central Railway,Fish Plate Fixing,74.69000244140625,High,1.7,2026-01-06,5,2,4,02:00,04:00,41,3
JOB_0235,SEC_007,Northern Railway,Track Geometry Correction,72.66000366210938,High,4.1,2026-01-06,5,1,6,01:00,06:00,84,2
JOB_0105,SEC_004,Eastern Railway,Drainage Clearance,70.44000244140625,High,2.3,2026-01-06,5,2,5,02:00,05:00,75,2
JOB_0048,SEC_020,Central Railway,Signal Cable Work,69.98999786376953,High,3.2,2026-01-08,7,1,5,01:00,05:00,31,4
JOB_0146,SEC_024,Southern Railway,Ballast Tamping,69.95999908447266,High,4.8,2026-01-07,6,3,8,03:00,08:00,72,2
JOB_0244,SEC_025,Northern Railway,Fish Plate Fixing,69.94999694824219,High,1.3,2026-01-07,6,3,5,03:00,05:00,88,3
