job_id,section_id,zone,job_type,reported_date,days_overdue,estimated_duration_hrs,asset_age_years,track_condition_score,traffic_density_num,days_since_inspection,defect_severity,risk_level,risk_level_num,preferred_window_start_hr,preferred_window_end_hr,priority_score,assigned_block_day,assigned_block_start_hr
JOB_0001,SEC_020,Central Railway,Weld Repair,2025-12-05,27,3.9,25.2,61.8,3,281,3,High,3,1,5,83.46,4,1
JOB_0002,SEC_005,South Central Railway,Fish Plate Fixing,2025-12-20,12,2.5,6.4,82.5,2,193,5,High,3,3,6,76.96,1,3
JOB_0003,SEC_022,Eastern Railway,OHE Maintenance,2025-12-16,16,4.1,5.7,38.3,3,45,5,Critical,4,3,8,100.0,2,3
JOB_0004,SEC_029,South Central Railway,Rail Replacement,2025-11-10,52,6.7,17.2,33.9,2,37,3,Critical,4,1,8,100.0,7,1
JOB_0005,SEC_040,Eastern Railway,Fish Plate Fixing,2025-11-05,57,2.1,2.4,64.9,3,298,2,High,3,2,5,73.93,3,2
JOB_0006,SEC_024,Southern Railway,OHE Maintenance,2025-11-06,56,5.3,34.5,58.5,3,169,4,Critical,4,2,8,100.0,6,2
JOB_0007,SEC_011,South Central Railway,Track Geometry Correction,2025-10-16,77,6.5,11.8,43.7,1,171,2,High,3,2,9,86.18,1,2
JOB_0008,SEC_034,Eastern Railway,Ballast Tamping,2025-11-26,36,5.3,14.3,40.1,3,294,1,High,3,2,8,73.83,7,2
JOB_0009,SEC_033,Western Railway,Weld Repair,2025-11-07,55,3.9,40.8,90.2,2,11,1,High,3,2,6,75.67,0,2
JOB_0010,SEC_027,Western Railway,Rail Replacement,2025-11-12,50,5.5,24.1,77.0,2,258,5,Critical,4,2,8,100.0,1,2
JOB_0011,SEC_024,Southern Railway,Track Geometry Correction,2025-12-29,3,6.7,34.5,58.5,3,169,3,High,3,1,8,84.99,4,1
JOB_0012,SEC_003,Western Railway,Fish Plate Fixing,2025-11-02,60,2.5,26.1,68.3,3,289,2,High,3,2,5,84.29,7,2
JOB_0013,SEC_040,Eastern Railway,Rail Replacement,2025-12-22,10,5.0,2.4,64.9,3,298,1,Medium,2,3,9,48.4,24,3
JOB_0014,SEC_034,Eastern Railway,Level Crossing Repair,2025-12-18,14,2.7,14.3,40.1,3,294,3,High,3,1,4,77.77,1,1
JOB_0015,SEC_016,Eastern Railway,Level Crossing Repair,2025-10-12,81,3.4,44.8,74.2,3,293,5,Critical,4,3,7,100.0,0,3
JOB_0016,SEC_033,Western Railway,OHE Maintenance,2025-12-02,30,3.9,40.8,90.2,2,11,2,High,3,1,5,78.53,11,1
JOB_0017,SEC_016,Eastern Railway,OHE Maintenance,2025-11-09,53,5.0,44.8,74.2,3,293,2,Critical,4,1,7,100.0,0,1
JOB_0018,SEC_025,Northern Railway,Signal Cable Work,2025-12-27,5,5.9,21.4,68.2,2,42,4,High,3,2,8,81.57,0,2
JOB_0019,SEC_023,South Central Railway,Ballast Tamping,2025-11-18,44,5.2,42.7,92.7,2,280,2,High,3,3,9,76.01,5,3
JOB_0020,SEC_009,Western Railway,Rail Replacement,2025-11-17,45,5.4,9.0,69.6,2,353,5,Critical,4,3,9,94.13,2,3
JOB_0021,SEC_030,Southern Railway,Signal Cable Work,2025-10-13,80,5.2,36.4,39.1,1,108,2,Critical,4,2,8,100.0,0,2
JOB_0022,SEC_019,Northern Railway,Track Geometry Correction,2025-12-27,5,6.5,39.4,39.9,2,337,2,High,3,2,9,79.48,9,2
JOB_0023,SEC_033,Western Railway,Level Crossing Repair,2025-10-24,69,2.8,40.8,90.2,2,11,4,Critical,4,2,5,100.0,0,2
JOB_0024,SEC_022,Eastern Railway,Fish Plate Fixing,2025-12-17,15,1.9,5.7,38.3,3,45,3,High,3,2,4,75.57,14,2
JOB_0025,SEC_025,Northern Railway,Sleeper Replacement,2025-12-09,23,7.5,21.4,68.2,2,42,4,High,3,2,10,80.1,2,2
JOB_0026,SEC_028,Eastern Railway,Ballast Tamping,2025-11-07,55,6.0,26.8,36.1,2,252,5,Critical,4,1,8,100.0,4,1
JOB_0027,SEC_021,Western Railway,Ballast Tamping,2025-12-22,10,5.0,42.0,87.1,4,167,3,High,3,2,8,85.31,5,2
JOB_0028,SEC_029,South Central Railway,Sleeper Replacement,2025-11-05,57,7.6,17.2,33.9,2,37,1,High,3,2,10,81.9,6,2
JOB_0029,SEC_018,Southern Railway,Rail Replacement,2025-12-23,9,5.5,8.8,63.0,1,144,4,High,3,1,7,70.23,4,1
JOB_0030,SEC_039,Western Railway,Signal Cable Work,2025-12-28,4,2.3,30.8,59.7,2,145,2,High,3,3,6,63.58,11,3
JOB_0031,SEC_024,Southern Railway,Level Crossing Repair,2025-10-21,72,3.8,34.5,58.5,3,169,1,High,3,2,6,87.67,7,2
JOB_0032,SEC_005,South Central Railway,OHE Maintenance,2025-12-15,17,4.1,6.4,82.5,2,193,5,High,3,2,7,71.92,8,2
JOB_0033,SEC_016,Eastern Railway,Ballast Tamping,2025-12-29,3,4.5,44.8,74.2,3,293,2,High,3,2,7,72.98,8,2
JOB_0034,SEC_029,South Central Railway,Track Geometry Correction,2025-10-15,78,5.8,17.2,33.9,2,37,3,Critical,4,2,8,100.0,3,2
JOB_0035,SEC_008,Central Railway,Weld Repair,2025-12-23,9,2.3,44.4,71.3,4,61,4,Critical,4,3,6,100.0,5,3
JOB_0036,SEC_023,South Central Railway,Ballast Tamping,2025-10-23,70,3.9,42.7,92.7,2,280,5,Critical,4,2,6,100.0,2,2
JOB_0037,SEC_012,Southern Railway,Sleeper Replacement,2025-10-28,65,4.6,39.7,39.3,2,345,2,Critical,4,2,7,100.0,0,2
JOB_0038,SEC_024,Southern Railway,Drainage Clearance,2025-10-20,73,1.9,34.5,58.5,3,169,3,Critical,4,3,5,100.0,2,3
JOB_0039,SEC_040,Eastern Railway,Ballast Tamping,2025-12-24,8,4.2,2.4,64.9,3,298,3,Medium,2,2,7,61.07,29,2
JOB_0040,SEC_027,Western Railway,OHE Maintenance,2025-12-23,9,5.9,24.1,77.0,2,258,2,Medium,2,3,9,53.6,7,3
JOB_0041,SEC_029,South Central Railway,Signal Cable Work,2025-10-06,87,3.4,17.2,33.9,2,37,5,Critical,4,3,7,100.0,2,3
JOB_0042,SEC_009,Western Railway,Level Crossing Repair,2025-10-29,64,4.5,9.0,69.6,2,353,1,Medium,2,3,8,58.88,2,3
JOB_0043,SEC_020,Central Railway,Weld Repair,2025-12-12,20,3.9,25.2,61.8,3,281,3,High,3,3,7,84.27,9,3
JOB_0044,SEC_006,Southern Railway,Fish Plate Fixing,2025-12-07,25,1.5,25.1,83.9,4,203,5,Critical,4,3,5,100.0,4,3
JOB_0045,SEC_040,Eastern Railway,Drainage Clearance,2025-12-21,11,2.3,2.4,64.9,3,298,5,High,3,1,4,80.51,10,1
JOB_0046,SEC_037,Northern Railway,Rail Replacement,2025-12-29,3,4.2,27.6,67.6,3,130,1,Medium,2,3,8,53.79,29,3
JOB_0047,SEC_037,Northern Railway,Fish Plate Fixing,2025-10-10,83,2.5,27.6,67.6,3,130,2,Critical,4,2,5,98.24,4,2
JOB_0048,SEC_020,Central Railway,Signal Cable Work,2025-12-01,31,3.2,25.2,61.8,3,281,4,Critical,4,1,5,100.0,0,1
JOB_0049,SEC_011,South Central Railway,Signal Cable Work,2025-11-09,53,3.9,11.8,43.7,1,171,4,Critical,4,3,7,94.63,5,3
JOB_0050,SEC_023,South Central Railway,Level Crossing Repair,2025-12-16,16,3.5,42.7,92.7,2,280,3,High,3,1,5,79.18,10,1
JOB_0051,SEC_016,Eastern Railway,Signal Cable Work,2025-12-17,15,3.8,44.8,74.2,3,293,3,High,3,2,6,88.71,13,2
JOB_0052,SEC_016,Eastern Railway,Weld Repair,2025-11-21,41,3.4,44.8,74.2,3,293,5,Critical,4,1,5,100.0,2,1
JOB_0053,SEC_032,Central Railway,Drainage Clearance,2025-11-03,59,2.8,37.9,61.3,4,131,4,Critical,4,2,5,100.0,7,2
JOB_0054,SEC_016,Eastern Railway,Track Geometry Correction,2025-10-19,74,3.2,44.8,74.2,3,293,3,Critical,4,2,6,100.0,7,2
JOB_0055,SEC_039,Western Railway,Signal Cable Work,2025-11-26,36,2.0,30.8,59.7,2,145,5,Critical,4,2,5,100.0,5,2
JOB_0056,SEC_026,Central Railway,Sleeper Replacement,2025-12-27,5,4.3,5.1,85.9,3,127,4,High,3,3,8,70.83,6,3
JOB_0057,SEC_024,Southern Railway,Drainage Clearance,2025-11-26,36,1.8,34.5,58.5,3,169,1,High,3,3,5,74.62,1,3
JOB_0058,SEC_009,Western Railway,Ballast Tamping,2025-11-12,50,5.4,9.0,69.6,2,353,3,High,3,2,8,79.76,5,2
JOB_0059,SEC_010,Eastern Railway,Track Geometry Correction,2025-10-16,77,4.6,25.0,74.5,2,246,5,Critical,4,3,8,100.0,5,3
JOB_0060,SEC_031,Northern Railway,Drainage Clearance,2025-11-04,58,2.2,14.0,33.3,2,48,2,High,3,3,6,85.19,2,3
JOB_0061,SEC_021,Western Railway,OHE Maintenance,2025-11-22,40,4.2,42.0,87.1,4,167,2,High,3,3,8,84.93,5,3
JOB_0062,SEC_033,Western Railway,Drainage Clearance,2025-10-25,68,2.4,40.8,90.2,2,11,4,Critical,4,2,5,100.0,7,2
JOB_0063,SEC_002,Central Railway,Sleeper Replacement,2025-11-20,42,8.9,5.7,62.8,2,25,1,Medium,2,3,12,50.22,0,3
JOB_0064,SEC_039,Western Railway,Signal Cable Work,2025-11-29,33,4.3,30.8,59.7,2,145,5,Critical,4,3,8,100.0,0,3
JOB_0065,SEC_038,Central Railway,Signal Cable Work,2025-12-11,21,4.5,28.6,90.8,2,308,5,Critical,4,1,6,89.75,3,1
JOB_0066,SEC_003,Western Railway,OHE Maintenance,2025-10-04,89,3.6,26.1,68.3,3,289,1,High,3,2,6,86.19,5,2
JOB_0067,SEC_027,Western Railway,Weld Repair,2025-11-10,52,2.8,24.1,77.0,2,258,2,High,3,3,6,78.05,0,3
JOB_0068,SEC_009,Western Railway,Drainage Clearance,2025-12-06,26,1.7,9.0,69.6,2,353,5,Critical,4,3,5,84.53,7,3
JOB_0069,SEC_034,Eastern Railway,Level Crossing Repair,2025-11-22,40,3.4,14.3,40.1,3,294,2,High,3,3,7,78.43,4,3
