job_id,section_id,zone,job_type,reported_date,days_overdue,estimated_duration_hrs,asset_age_years,track_condition_score,traffic_density_num,days_since_inspection,defect_severity,risk_level,risk_level_num,preferred_window_start_hr,preferred_window_end_hr,priority_score,assigned_block_day,assigned_block_start_hr
JOB_0001,SEC_020,Central Railway,Weld Repair,2025-12-05,27,3.9,25.2,61.8,3,281,3,High,3,1,5,56.2,4,1
JOB_0002,SEC_005,South Central Railway,Fish Plate Fixing,2025-12-20,12,2.5,6.4,82.5,2,193,5,High,3,3,6,51.6,1,3
JOB_0003,SEC_022,Eastern Railway,OHE Maintenance,2025-12-16,16,4.1,5.7,38.3,3,45,5,Critical,4,3,8,70.5,2,3
JOB_0004,SEC_029,South Central Railway,Rail Replacement,2025-11-10,52,6.7,17.2,33.9,2,37,3,Critical,4,1,8,72.4,7,1
JOB_0005,SEC_040,Eastern Railway,Fish Plate Fixing,2025-11-05,57,2.1,2.4,64.9,3,298,2,High,3,2,5,51.3,3,2
JOB_0006,SEC_024,Southern Railway,OHE Maintenance,2025-11-06,56,5.3,34.5,58.5,3,169,4,Critical,4,2,8,81.9,6,2
JOB_0007,SEC_011,South Central Railway,Track Geometry Correction,2025-10-16,77,6.5,11.8,43.7,1,171,2,High,3,2,9,61.8,1,2
JOB_0008,SEC_034,Eastern Railway,Ballast Tamping,2025-11-26,36,5.3,14.3,40.1,3,294,1,High,3,2,8,52.2,7,2
JOB_0009,SEC_033,Western Railway,Weld Repair,2025-11-07,55,3.9,40.8,90.2,2,11,1,High,3,2,6,51.4,0,2
JOB_0010,SEC_027,Western Railway,Rail Replacement,2025-11-12,50,5.5,24.1,77.0,2,258,5,Critical,4,2,8,74.0,1,2
JOB_0011,SEC_024,Southern Railway,Track Geometry Correction,2025-12-29,3,6.7,34.5,58.5,3,169,3,High,3,1,8,57.3,4,1
JOB_0012,SEC_003,Western Railway,Fish Plate Fixing,2025-11-02,60,2.5,26.1,68.3,3,289,2,High,3,2,5,57.1,7,2
JOB_0013,SEC_040,Eastern Railway,Rail Replacement,2025-12-22,10,5.0,2.4,64.9,3,298,1,Medium,2,3,9,33.8,24,3
JOB_0014,SEC_034,Eastern Railway,Level Crossing Repair,2025-12-18,14,2.7,14.3,40.1,3,294,3,High,3,1,4,53.1,1,1
JOB_0015,SEC_016,Eastern Railway,Level Crossing Repair,2025-10-12,81,3.4,44.8,74.2,3,293,5,Critical,4,3,7,93.0,0,3
JOB_0016,SEC_033,Western Railway,OHE Maintenance,2025-12-02,30,3.9,40.8,90.2,2,11,2,High,3,1,5,53.2,11,1
JOB_0017,SEC_016,Eastern Railway,OHE Maintenance,2025-11-09,53,5.0,44.8,74.2,3,293,2,Critical,4,1,7,72.7,0,1
JOB_0018,SEC_025,Northern Railway,Signal Cable Work,2025-12-27,5,5.9,21.4,68.2,2,42,4,High,3,2,8,55.5,0,2
JOB_0019,SEC_023,South Central Railway,Ballast Tamping,2025-11-18,44,5.2,42.7,92.7,2,280,2,High,3,3,9,50.3,5,3
JOB_0020,SEC_009,Western Railway,Rail Replacement,2025-11-17,45,5.4,9.0,69.6,2,353,5,Critical,4,3,9,63.9,2,3
JOB_0021,SEC_030,Southern Railway,Signal Cable Work,2025-10-13,80,5.2,36.4,39.1,1,108,2,Critical,4,2,8,76.1,0,2
JOB_0022,SEC_019,Northern Railway,Track Geometry Correction,2025-12-27,5,6.5,39.4,39.9,2,337,2,High,3,2,9,54.8,9,2
JOB_0023,SEC_033,Western Railway,Level Crossing Repair,2025-10-24,69,2.8,40.8,90.2,2,11,4,Critical,4,2,5,73.5,0,2
JOB_0024,SEC_022,Eastern Railway,Fish Plate Fixing,2025-12-17,15,1.9,5.7,38.3,3,45,3,High,3,2,4,52.2,14,2
JOB_0025,SEC_025,Northern Railway,Sleeper Replacement,2025-12-09,23,7.5,21.4,68.2,2,42,4,High,3,2,10,53.5,2,2
JOB_0026,SEC_028,Eastern Railway,Ballast Tamping,2025-11-07,55,6.0,26.8,36.1,2,252,5,Critical,4,1,8,84.9,4,1
JOB_0027,SEC_021,Western Railway,Ballast Tamping,2025-12-22,10,5.0,42.0,87.1,4,167,3,High,3,2,8,55.5,5,2
